name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude,category,location
Derma Line Klinika Dermatologjike & Estetike,"Arberi, Rr.Vicianum nr 186/7, Prishtinë 10000",,+383 45 100 450,48.0,4.9,42.6596874,21.1494122,dermatologist,Albania
Swiss Eco Clinic,"Fortuzi, Tiranë, Albania",https://www.swissecoclinic.com/,+355 67 743 3696,97.0,4.9,41.3326074,19.8151962,dermatologist,Albania
Skin Tech Derma Center,"Seksion B, Kati i 4, Tirana Ring Center, Zogu i Zi, Tiranë 1000, Albania",,+355 4 242 1413,63.0,4.9,41.3326816,19.8035842,dermatologist,Albania
Derma Pure Aesthetic,"Rr. Skenderbeu, Fier 9301, Albania",https://instagram.com/dermapure_aesthetic/,+355 69 491 8550,141.0,5.0,40.7347501,19.5622753,dermatologist,Albania
"Klinika Dermatologjike ""A-Derma""","Rruga Don Bosko Ndertesa 3, Hyrja 24, Apartamenti 6, Tiranë 1026, Albania",http://www.aderma.al/,+355 4 240 4060,253.0,4.1,41.3351951,19.8053098,dermatologist,Albania
Klinika Estetike Dermolife - Kirurgjia Italiane,"Rruga Derhemi, Tiranë, Albania",http://www.dermolife.al/,+355 69 600 6550,649.0,4.6,41.3327199,19.8307279,dermatologist,Albania
DERMACLINIC Durrës,"Rruga Hafiz Podgorica, Durrës, Albania",https://ritjanamala.com/,+355 69 488 9918,109.0,5.0,41.3173305,19.4489943,dermatologist,Albania
Klinikë Dermatologjike Venus,"Brigada VIII Nd.Nr2, Ap5, Tiranë 1001, Albania",http://www.venusderm.com/,+355 69 960 8440,85.0,4.5,41.3222916,19.8168225,dermatologist,Albania
"Klinika Mjekësore ""MED ONE""","Rruga Don Bosko 13, Tiranë, Albania",,+355 68 801 7907,34.0,4.8,41.3359508,19.8048192,dermatologist,Albania
Klinika Dermaplus,"Rruga Sami Frashëri, Tiranë, Albania",http://www.dermaplus.al/,+355 69 368 0008,192.0,4.8,41.3244106,19.8127449,dermatologist,Albania
DermX Aesthetic Medicine Clinic,"Pallati Keam International, Rruga Mihal Duri 2 Kati 4 Ap. 13, Tiranë 1002, Albania",https://www.instagram.com/dermx_clinic/,+355 69 602 2322,33.0,5.0,41.3287887,19.812282,dermatologist,Albania
Tiaré Dermatology Clinic,"Rr. Kavajes Nd. 223, H. 18, No.5, Tiranë 1001, Albania",http://www.tiare.al/,+355 69 581 2968,15.0,4.5,41.3222413,19.7957512,dermatologist,Albania
Shpresa Derm,"Fatos Limani, Prishtina 10000",https://www.instagram.com/shpresaderm?igsh=NWNhbDYza2gwYW85,+383 44 159 405,20.0,5.0,42.6474817,21.1709469,dermatologist,Albania
Klinika DermaCheck,"Rruga Sami Frashëri, Tiranë, Albania",https://www.dermacheck.al/,+355 69 204 2178,7.0,5.0,41.3238069,19.8128268,dermatologist,Albania
Bonsai Clinic,"22 Rruga Bajram Kelmendi, Prishtinë 10000",,+383 49 288 433,104.0,4.9,42.6634826,21.1661093,dermatologist,Albania
DermaD,"Afrim Vitia, 1 Svetozar Markoviq, Prishtinë 10000",,+383 44 161 317,18.0,3.9,42.6625136,21.1675858,dermatologist,Albania
MY DERMA CLINIC,"Rruga Egnatia, Durrës, Albania",,+355 69 342 6300,92.0,4.9,41.3137158,19.4495689,dermatologist,Albania
SMartderm-Silvana Mishtaku,"Rezidenca Olimpik, Rruga Prokop Mima, Tiranë 1001, Albania",,+355 69 700 0930,29.0,5.0,41.312537,19.808191,dermatologist,Albania
Dr Rudina Thanasi - Dermatolog - Venerolog,"Rr. Brigada VIII, Shkalla 26, Apartament 404 Tirane, 1019, Albania",http://rudinathanasi.com/,+355 68 202 3331,19.0,4.6,41.3220924,19.8155365,dermatologist,Albania
Derma Plus,"10000 Rruga B, Prishtina 10000",http://www.dp-ks.com/,+383 46 224 224,10.0,4.2,42.6464937,21.1709853,dermatologist,Albania
Skin After Scars,"Lagjja Apollonia, Rruga Jakov Mile, Fier 9301, Albania",https://instagram.com/skin_after_scars?igshid=Yzg5MTU1MDY=,,40.0,5.0,40.7262732,19.555069,dermatologist,Albania
Klinika Dermaskin,"Rruga e Kosovarëve Pallati Dolcka, H.9, Kati 3, Tiranë, Albania",,+355 69 202 2386,27.0,4.9,41.3138688,19.8137498,dermatologist,Albania
Innova Clinic,"Rruga Asim Zeneli, Pallati 12, Kati II Nr.4, Tiranë 1001, Albania",https://innovaclinic.al/,+355 67 700 0088,58.0,5.0,41.3200135,19.8235023,dermatologist,Albania
Fabulous Derma Clinic,"Square 21, Kavaja St, Tiranë 1001, Albania",https://fabulousderma.al/,+355 67 631 8211,27.0,4.9,41.3236552,19.7994038,dermatologist,Albania
Derma ART,"Ahmet Gashi OBJ-4 H-1 LOK Nr.1 Prishtinë, 10000",https://derma-arti.com/,+383 49 263 339,65.0,4.5,42.6445581,21.1696239,dermatologist,Albania
Derma R Clinic,"28 Nëntori, Fushë-Kosovë 10000",,+383 49 157 543,2.0,5.0,42.6415672,21.0953951,dermatologist,Albania
Derma Art Clinic Tiranë,"8RP2+QVG, Tiranë, Albania",,+355 69 389 2600,11.0,5.0,41.3335955,19.8177521,dermatologist,Albania
At'Har Dermatology Clinic,"Rruga Irfan Tomini Pall. 10, Kati 2, Ap. 10, Tiranë 1020, Albania",,+355 67 263 9762,2.0,5.0,41.3198639,19.7981908,dermatologist,Albania
"Ordinanca ""Pro-Derm""","Rruga B, Prishtinë 10000",,+383 44 238 745,99.0,4.9,42.649209,21.1734649,dermatologist,Albania
Lavender Clinic Esthetic,"Rruga Jeronim De Rada, Tiranë, Albania",https://lavenderclinic.al/,+355 69 701 7277,94.0,4.8,41.3271516,19.8246001,dermatologist,Albania
Bioderm - Dr. Hatixhe Mulliqi,"Motrat Qiriazi, Prishtina 10000",https://instagram.com/bioderm.ks?igshid=MzRlODBiNWFlZA==,+383 44 169 327,5.0,5.0,42.6475631,21.1602897,dermatologist,Albania
Dermo Aesthetic,"Pallati Ferrar, Rruga Gjik Kuqali, mbrapa, Tiranë 1010, Albania",,+355 69 660 3968,6.0,5.0,41.3172123,19.8111613,dermatologist,Albania
Anaderm Dermatologic & Cosmetic Clinic,"nr 50 Hilmi Rakovica, Prishtinë 10000",http://www.anadermks.com/,+383 44 300 298,87.0,4.3,42.6544037,21.1712872,dermatologist,Albania
EB,"kulla III, kati 2, Bulevardi Zhan D'Ark, Tiranë 1001, Albania",,+355 69 237 7471,80.0,4.6,41.3222595,19.8082875,dermatologist,Albania
Klinika Dermatologjike dhe Estetike “Ermira Vasili”,"Rruga Pjetër Bogdani, Tiranë, Albania",https://www.facebook.com/Dr.ErmiraVasili/,+355 69 214 8471,11.0,4.3,41.3211829,19.8150111,dermatologist,Albania
Klinika Dermovita,"Rruga Hoxha Tahsim 60, Tiranë 0355, Albania",,+355 69 406 1001,13.0,4.7,41.3310526,19.8284053,dermatologist,Albania
Lumière Clinic Tirana,"Rruga Skender Luarasi, Tiranë 1019, Albania",https://lumiere-clinic.al/,+355 69 701 0222,21.0,4.6,41.3160503,19.8088218,dermatologist,Albania
DIVA PLASTIC SURGERY DERMATOLOGY & LASER CLINIC,"Pallati 7/1, Rruga Ismail Qemali, Tiranë, Albania",http://diva.al/,+355 67 260 0000,139.0,4.9,41.321077,19.818612,dermatologist,Albania
DuoDerm,"Rr Motrat Qiriazi, Prishtina 10000",,,5.0,5.0,42.6482963,21.1601626,dermatologist,Albania
Klinike Dermatologjike Dr. Shk Blerta Gjoni (PhD),"gl/19A2ETZDqBkhrGtJ8?g_st=com.google.maps.preview.copy, https://maps.app.goo, Rruga Qemal Stafa 27, Tiranë, Albania",,+355 67 206 9962,5.0,5.0,41.33068,19.8222763,dermatologist,Albania
