name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude,category,location
Bonsai Clinic,"22 Rruga Bajram Kelmendi, Prishtinë 10000",,+383 49 288 433,,4.9,42.6634826,21.1661093,dermatologist,Kosovo
Derma Line Klinika Dermatologjike & Estetike,"Arberi, Rr.Vicianum nr 186/7, Prishtinë 10000",,+383 45 100 450,,4.9,42.6596874,21.1494122,dermatologist,Kosovo
DermaD,"Afrim Vitia, 1 Svetozar Markoviq, Prishtinë 10000",,+383 44 161 317,,3.9,42.6625136,21.1675858,dermatologist,Kosovo
Anaderm Dermatologic & Cosmetic Clinic,"nr 50 Hilmi Rakovica, Prishtinë 10000",http://www.anadermks.com/,+383 44 300 298,,4.3,42.6544037,21.1712872,dermatologist,Kosovo
"Ordinanca ""Pro-Derm""","Rruga B, Prishtinë 10000",,+383 44 238 745,,4.9,42.649209,21.1734649,dermatologist,Kosovo
Shpresa Derm,"Fatos Limani, Prishtina 10000",https://www.instagram.com/shpresaderm?igsh=NWNhbDYza2gwYW85,+383 44 159 405,,5.0,42.6474817,21.1709469,dermatologist,Kosovo
Derma Plus,"10000 Rruga B, Prishtina 10000",http://www.dp-ks.com/,+383 46 224 224,,4.2,42.6464937,21.1709853,dermatologist,Kosovo
Derma ART,"Ahmet Gashi OBJ-4 H-1 LOK Nr.1 Prishtinë, 10000",https://derma-arti.com/,+383 49 263 339,,4.5,42.6445581,21.1696239,dermatologist,Kosovo
Bioderm - Dr. Hatixhe Mulliqi,"Motrat Qiriazi, Prishtina 10000",https://instagram.com/bioderm.ks?igshid=MzRlODBiNWFlZA==,+383 44 169 327,,5.0,42.6475631,21.1602897,dermatologist,Kosovo
Éclat - Aesthetic Clinic,"Jakov Xoxa, Prishtinë 10000",,+383 49 757 888,,4.8,42.6470239,21.1722713,dermatologist,Kosovo
DermaCare,"14 Ukë Bytyqi, Prishtina 10000",http://www.dermacareks.com/,+383 44 761 000,,4.5,42.6552983,21.1658724,dermatologist,Kosovo
DuoDerm,"Rr Motrat Qiriazi, Prishtina 10000",,,,5.0,42.6482963,21.1601626,dermatologist,Kosovo
Derma R Clinic,"28 Nëntori, Fushë-Kosovë 10000",,+383 49 157 543,,5.0,42.6415672,21.0953951,dermatologist,Kosovo
Kirurgjia estetike italiane Prishtine - DaVINCI,"Jusuf Gervalla, Lagja, Prishtinë 10000",http://www.davinci.al/,,173.0,4.9,42.6494541,21.1507998,dermatologist,Kosovo
Asa Medical Aesthetics,"Rruga B, Prishtinë 10000",,+383 49 293 747,,4.6,42.6522425,21.1771033,dermatologist,Kosovo
Anaderm Aesthetic Surgery Hospital,"Prishtinë , Kosovo, Street Zef Jubani, Prishtina 10000",https://www.klinikaanaderm.com/,+383 45 707 744,,4.8,42.631382,21.1484613,dermatologist,Kosovo
Miliona Aesthetic,"Rruga B, Prishtinë 10000",http://miliona.com/,+383 44 911 222,,4.6,42.6550665,21.1782976,dermatologist,Kosovo
Ordinanca Dermatologjike DermaMegi,"M54M+863, Prishtinë 10000",,+377 44 238 750,,3.1,42.6557643,21.1830553,dermatologist,Kosovo
Klinika e Dermatovenerologjisë,"10000 Unnamed Road, Prishtinë 10000",,,,1.0,42.6433131,21.1646911,dermatologist,Kosovo
American Beauty Clinic,"Agi Kos, Nr c2, Objekti 3, Rruga Vicianum, lokali4.1 2, Prishtinë 10000",https://americanbeautyclinic.com/,+383 48 596 596,10.0,5.0,42.6605313,21.1509951,dermatologist,Kosovo
