name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude,category,location,source_file
American Beauty Clinic,"Agi Kos, Nr c2, Objekti 3, Rruga Vicianum, lokali4.1 2, Prishtinë 10000",https://americanbeautyclinic.com/,+383 48 596 596,10.0,5.0,42.6605313,21.1509951,dermatologist,Albania,dermatologist_in_Albania.csv
American Beauty Clinic,"Agi Kos, Nr c2, Objekti 3, Rruga Vicianum, lokali4.1 2, Prishtinë 10000",https://americanbeautyclinic.com/,+383 48 596 596,10.0,5.0,42.6605313,21.1509951,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
Anaderm Aesthetic Surgery Hospital,"Prishtinë , Kosovo, Street Zef Jubani, Prishtina 10000",https://www.klinikaanaderm.com/,+383 45 707 744,73.0,4.8,42.631382,21.1484613,dermatologist,Albania,dermatologist_in_Albania.csv
Anaderm Aesthetic Surgery Hospital,"Prishtinë , Kosovo, Street Zef Jubani, Prishtina 10000",https://www.klinikaanaderm.com/,+383 45 707 744,73.0,4.8,42.631382,21.1484613,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
Anaderm Dermatologic & Cosmetic Clinic,"nr 50 Hilmi Rakovica, Prishtinë 10000",http://www.anadermks.com/,+383 44 300 298,87.0,4.3,42.6544037,21.1712872,dermatologist,Albania,dermatologist_in_Albania.csv
Anaderm Dermatologic & Cosmetic Clinic,"nr 50 Hilmi Rakovica, Prishtinë 10000",http://www.anadermks.com/,+383 44 300 298,87.0,4.3,42.6544037,21.1712872,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
Bioderm - Dr. Hatixhe Mulliqi,"Motrat Qiriazi, Prishtina 10000",https://instagram.com/bioderm.ks?igshid=MzRlODBiNWFlZA==,+383 44 169 327,5.0,5.0,42.6475631,21.1602897,dermatologist,Albania,dermatologist_in_Albania.csv
Bioderm - Dr. Hatixhe Mulliqi,"Motrat Qiriazi, Prishtina 10000",https://instagram.com/bioderm.ks?igshid=MzRlODBiNWFlZA==,+383 44 169 327,5.0,5.0,42.6475631,21.1602897,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
Bonsai Clinic,"22 Rruga Bajram Kelmendi, Prishtinë 10000",,+383 49 288 433,104.0,4.9,42.6634826,21.1661093,dermatologist,Albania,dermatologist_in_Albania.csv
Bonsai Clinic,"22 Rruga Bajram Kelmendi, Prishtinë 10000",,+383 49 288 433,104.0,4.9,42.6634826,21.1661093,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
Derma ART,"Ahmet Gashi OBJ-4 H-1 LOK Nr.1 Prishtinë, 10000",https://derma-arti.com/,+383 49 263 339,65.0,4.5,42.6445581,21.1696239,dermatologist,Albania,dermatologist_in_Albania.csv
Derma ART,"Ahmet Gashi OBJ-4 H-1 LOK Nr.1 Prishtinë, 10000",https://derma-arti.com/,+383 49 263 339,65.0,4.5,42.6445581,21.1696239,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
Derma Aesthetic Center by Ndricimi-RM,"Rruga Çameria Nr:6 Rru, Pejë 30000",,+383 48 222 977,4.0,5.0,42.6621038,20.2877494,dermatologist,Albania,dermatologist_in_Albania.csv
Derma Aesthetic Center by Ndricimi-RM,"Rruga Çameria Nr:6 Rru, Pejë 30000",,+383 48 222 977,4.0,5.0,42.6621038,20.2877494,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
Derma Line Klinika Dermatologjike & Estetike,"Arberi, Rr.Vicianum nr 186/7, Prishtinë 10000",,+383 45 100 450,48.0,4.9,42.6596874,21.1494122,dermatologist,Albania,dermatologist_in_Albania.csv
Derma Line Klinika Dermatologjike & Estetike,"Arberi, Rr.Vicianum nr 186/7, Prishtinë 10000",,+383 45 100 450,48.0,4.9,42.6596874,21.1494122,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
Derma Plus,"10000 Rruga B, Prishtina 10000",http://www.dp-ks.com/,+383 46 224 224,10.0,4.2,42.6464937,21.1709853,dermatologist,Albania,dermatologist_in_Albania.csv
Derma Plus,"10000 Rruga B, Prishtina 10000",http://www.dp-ks.com/,+383 46 224 224,10.0,4.2,42.6464937,21.1709853,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
Derma Pure,"Wesley Clark, Pejë 30000",https://www.facebook.com/dermapure.clinicks,+383 49 164 343,30.0,4.9,42.6610654,20.2808265,dermatologist,Albania,dermatologist_in_Albania.csv
Derma Pure,"Wesley Clark, Pejë 30000",https://www.facebook.com/dermapure.clinicks,+383 49 164 343,30.0,4.9,42.6610654,20.2808265,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
Derma R Clinic,"28 Nëntori, Fushë-Kosovë 10000",,+383 49 157 543,2.0,5.0,42.6415672,21.0953951,dermatologist,Albania,dermatologist_in_Albania.csv
Derma R Clinic,"28 Nëntori, Fushë-Kosovë 10000",,+383 49 157 543,2.0,5.0,42.6415672,21.0953951,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
DermaCare,"14 Ukë Bytyqi, Prishtina 10000",http://www.dermacareks.com/,+383 44 761 000,52.0,4.5,42.6552983,21.1658724,dermatologist,Albania,dermatologist_in_Albania.csv
DermaCare,"14 Ukë Bytyqi, Prishtina 10000",http://www.dermacareks.com/,+383 44 761 000,52.0,4.5,42.6552983,21.1658724,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
DermaD,"Afrim Vitia, 1 Svetozar Markoviq, Prishtinë 10000",,+383 44 161 317,18.0,3.9,42.6625136,21.1675858,dermatologist,Albania,dermatologist_in_Albania.csv
DermaD,"Afrim Vitia, 1 Svetozar Markoviq, Prishtinë 10000",,+383 44 161 317,18.0,3.9,42.6625136,21.1675858,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
Dermatovenerolog Mujadin Tërshnjaku(Estetika),"Rr William Walker, Prizren 20000",,+383 44 315 413,2.0,5.0,42.2079321,20.7246258,dermatologist,Albania,dermatologist_in_Albania.csv
Dermatovenerolog Mujadin Tërshnjaku(Estetika),"Rr William Walker, Prizren 20000",,+383 44 315 413,2.0,5.0,42.2079321,20.7246258,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
DuoDerm,"Rr Motrat Qiriazi, Prishtina 10000",,,5.0,5.0,42.6482963,21.1601626,dermatologist,Albania,dermatologist_in_Albania.csv
DuoDerm,"Rr Motrat Qiriazi, Prishtina 10000",,,5.0,5.0,42.6482963,21.1601626,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
Fiziomed,"Nysret Seharsoj, Prizren 20000",http://www.fiziomed.com/,+383 44 366 009,16.0,4.8,42.2058716,20.7318058,dermatologist,Albania,dermatologist_in_Albania.csv
Fiziomed,"Nysret Seharsoj, Prizren 20000",http://www.fiziomed.com/,+383 44 366 009,16.0,4.8,42.2058716,20.7318058,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
Kirurgjia estetike italiane Prishtine - DaVINCI,"Jusuf Gervalla, Lagja, Prishtinë 10000",http://www.davinci.al/,,173.0,4.9,42.6494541,21.1507998,dermatologist,Albania,dermatologist_in_Albania.csv
