name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude,category,location,source_file
Derma Line Klinika Dermatologjike & Estetike,"Arberi, Rr.Vicianum nr 186/7, Prishtinë 10000",,+383 45 100 450,48.0,4.9,42.6596874,21.1494122,dermatologist,Albania,dermatologist_in_Albania.csv
Swiss Eco Clinic,"Fortuzi, Tiranë, Albania",https://www.swissecoclinic.com/,+355 67 743 3696,97.0,4.9,41.3326074,19.8151962,dermatologist,Albania,dermatologist_in_Albania.csv
Skin Tech Derma Center,"Seksion B, Kati i 4, Tirana Ring Center, Zogu i Zi, Tiranë 1000, Albania",,+355 4 242 1413,63.0,4.9,41.3326816,19.8035842,dermatologist,Albania,dermatologist_in_Albania.csv
Derma Pure Aesthetic,"Rr. Skenderbeu, Fier 9301, Albania",https://instagram.com/dermapure_aesthetic/,+355 69 491 8550,141.0,5.0,40.7347501,19.5622753,dermatologist,Albania,dermatologist_in_Albania.csv
"Klinika Dermatologjike ""A-Derma""","Rruga Don Bosko Ndertesa 3, Hyrja 24, Apartamenti 6, Tiranë 1026, Albania",http://www.aderma.al/,+355 4 240 4060,253.0,4.1,41.3351951,19.8053098,dermatologist,Albania,dermatologist_in_Albania.csv
Klinika Estetike Dermolife - Kirurgjia Italiane,"Rruga Derhemi, Tiranë, Albania",http://www.dermolife.al/,+355 69 600 6550,649.0,4.6,41.3327199,19.8307279,dermatologist,Albania,dermatologist_in_Albania.csv
DERMACLINIC Durrës,"Rruga Hafiz Podgorica, Durrës, Albania",https://ritjanamala.com/,+355 69 488 9918,109.0,5.0,41.3173305,19.4489943,dermatologist,Albania,dermatologist_in_Albania.csv
Klinikë Dermatologjike Venus,"Brigada VIII Nd.Nr2, Ap5, Tiranë 1001, Albania",http://www.venusderm.com/,+355 69 960 8440,85.0,4.5,41.3222916,19.8168225,dermatologist,Albania,dermatologist_in_Albania.csv
"Klinika Mjekësore ""MED ONE""","Rruga Don Bosko 13, Tiranë, Albania",,+355 68 801 7907,34.0,4.8,41.3359508,19.8048192,dermatologist,Albania,dermatologist_in_Albania.csv
Klinika Dermaplus,"Rruga Sami Frashëri, Tiranë, Albania",http://www.dermaplus.al/,+355 69 368 0008,192.0,4.8,41.3244106,19.8127449,dermatologist,Albania,dermatologist_in_Albania.csv
DermX Aesthetic Medicine Clinic,"Pallati Keam International, Rruga Mihal Duri 2 Kati 4 Ap. 13, Tiranë 1002, Albania",https://www.instagram.com/dermx_clinic/,+355 69 602 2322,33.0,5.0,41.3287887,19.812282,dermatologist,Albania,dermatologist_in_Albania.csv
Tiaré Dermatology Clinic,"Rr. Kavajes Nd. 223, H. 18, No.5, Tiranë 1001, Albania",http://www.tiare.al/,+355 69 581 2968,15.0,4.5,41.3222413,19.7957512,dermatologist,Albania,dermatologist_in_Albania.csv
Shpresa Derm,"Fatos Limani, Prishtina 10000",https://www.instagram.com/shpresaderm?igsh=NWNhbDYza2gwYW85,+383 44 159 405,20.0,5.0,42.6474817,21.1709469,dermatologist,Albania,dermatologist_in_Albania.csv
Klinika DermaCheck,"Rruga Sami Frashëri, Tiranë, Albania",https://www.dermacheck.al/,+355 69 204 2178,7.0,5.0,41.3238069,19.8128268,dermatologist,Albania,dermatologist_in_Albania.csv
Bonsai Clinic,"22 Rruga Bajram Kelmendi, Prishtinë 10000",,+383 49 288 433,104.0,4.9,42.6634826,21.1661093,dermatologist,Albania,dermatologist_in_Albania.csv
DermaD,"Afrim Vitia, 1 Svetozar Markoviq, Prishtinë 10000",,+383 44 161 317,18.0,3.9,42.6625136,21.1675858,dermatologist,Albania,dermatologist_in_Albania.csv
MY DERMA CLINIC,"Rruga Egnatia, Durrës, Albania",,+355 69 342 6300,92.0,4.9,41.3137158,19.4495689,dermatologist,Albania,dermatologist_in_Albania.csv
SMartderm-Silvana Mishtaku,"Rezidenca Olimpik, Rruga Prokop Mima, Tiranë 1001, Albania",,+355 69 700 0930,29.0,5.0,41.312537,19.808191,dermatologist,Albania,dermatologist_in_Albania.csv
Dr Rudina Thanasi - Dermatolog - Venerolog,"Rr. Brigada VIII, Shkalla 26, Apartament 404 Tirane, 1019, Albania",http://rudinathanasi.com/,+355 68 202 3331,19.0,4.6,41.3220924,19.8155365,dermatologist,Albania,dermatologist_in_Albania.csv
Derma Plus,"10000 Rruga B, Prishtina 10000",http://www.dp-ks.com/,+383 46 224 224,10.0,4.2,42.6464937,21.1709853,dermatologist,Albania,dermatologist_in_Albania.csv
Skin After Scars,"Lagjja Apollonia, Rruga Jakov Mile, Fier 9301, Albania",https://instagram.com/skin_after_scars?igshid=Yzg5MTU1MDY=,,40.0,5.0,40.7262732,19.555069,dermatologist,Albania,dermatologist_in_Albania.csv
Klinika Dermaskin,"Rruga e Kosovarëve Pallati Dolcka, H.9, Kati 3, Tiranë, Albania",,+355 69 202 2386,27.0,4.9,41.3138688,19.8137498,dermatologist,Albania,dermatologist_in_Albania.csv
Innova Clinic,"Rruga Asim Zeneli, Pallati 12, Kati II Nr.4, Tiranë 1001, Albania",https://innovaclinic.al/,+355 67 700 0088,58.0,5.0,41.3200135,19.8235023,dermatologist,Albania,dermatologist_in_Albania.csv
Fabulous Derma Clinic,"Square 21, Kavaja St, Tiranë 1001, Albania",https://fabulousderma.al/,+355 67 631 8211,27.0,4.9,41.3236552,19.7994038,dermatologist,Albania,dermatologist_in_Albania.csv
